,,Peptide Length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,35,36,37,38,39,40,43,46
Substitution Position,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,
,38,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,36,,,,,,,,,,,,,,,,,,,,,,,,,62,,60,,,,,,,,
,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
,34,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,
,33,,,,,,,,,,,,,,,,,,,,,,,11,28,125,,7,,,,1,8,,,
,32,,,,,,,,,,,,,,,,,,,,,20,,,,26,71,,,22,,,1,,,
,31,,,,,,,,,,,,,,,,,,,10,63,5,64,,,5,,,,,,,,,,
,30,,,,,,,,,,,,,,,,,,,30,,8,8,11,,41,,,,,,,,,,
,29,,,,,,,,,,,,,,,,,3,302,8,69,,7,,,21,,,7,,,,,,,
,28,,,,,,,,,,,,,,,,,129,69,111,9,90,,,,,,8,,,,1,,,,
,27,,,,,,,,,,,,,,,,28,44,66,11,3,24,,,,,6,,,,,,,12,,
,26,,,,,,,,,,,,,,,75,31,55,25,5,22,,,,,,,,,,,,,,,
,25,,,,,,,,,,,,,20,128,48,14,28,,6,8,,9,,,61,,,,,,,,,,
,24,,,,,,,,,,,,48,505,147,35,45,26,,217,12,,22,,,,,,,,,,,,,
,23,,,,,,,,,,,54,81,90,112,47,14,145,,37,134,94,19,,41,9,,,19,,,4,,,,
,22,,,,,,,,,,36,221,60,97,163,59,99,137,,7,1,,13,,183,,,,,,,,,,,
,21,,,,,,,,,47,171,138,152,172,23,15,57,,15,15,11,,18,,5,,,11,,,,,,,,
,20,,,,,,,,15,359,218,285,129,33,173,108,,225,101,26,11,,1,47,,,,,,,,,,,,
,19,,,,,,,268,476,216,162,342,212,185,102,56,119,,185,,18,,,51,,,,,,,,,,,,
,18,,,,,,14,375,105,491,169,100,27,12,190,2,48,4,,31,1,,,1,,,,,,7,,,,,,
,17,,,,,58,136,219,274,258,244,180,243,37,89,,74,13,5,10,1,,,,,,,,,,,,,,,
,16,,,,47,212,173,393,145,144,171,269,162,51,146,385,72,91,8,18,31,7,,29,,,,,,,,,,,,
,15,,,14,416,436,566,311,255,321,192,208,108,290,80,271,,55,34,11,,,22,40,212,34,,37,,,,,,,,
,14,,24,258,317,449,500,272,331,551,503,180,274,130,123,59,17,,24,40,,2,128,44,,,,12,,,,,,3,,
,13,33,323,357,434,598,695,329,302,282,261,431,355,14,26,110,60,2,,11,14,41,,,,,,,,,,,,,,
,12,158,244,446,380,188,243,251,246,227,83,254,206,65,18,44,160,28,34,1,22,,16,13,,,1,,,,,,1,,,
,11,185,295,351,181,564,439,378,302,269,119,104,31,69,43,69,15,73,69,,,12,86,2,,9,,,1,,,,,,,
,10,112,248,329,205,377,336,425,304,210,189,456,129,109,9,252,9,224,27,,25,51,,,12,,,1,115,,,,,,,
,9,254,347,368,363,462,401,196,220,198,198,202,114,92,88,54,185,104,22,131,62,19,7,7,,10,,,38,4,,,,,,
,8,115,273,513,118,274,335,232,352,399,431,319,94,58,44,213,44,93,31,84,,,7,,17,,2,,,,,,,,,
,7,216,292,275,227,242,381,363,464,318,257,142,280,422,52,,35,,,,11,46,,1,,,31,181,,,1,,,,,
