Peptide Length,Discovered
7,0.056849953
8,0.146138807
9,0.323600137
10,0.350074405
11,0.484974093
12,0.491585684
13,0.430458624
14,0.404378792
15,0.52004662
16,0.473266745
17,0.431660232
18,0.401848429
19,0.374949
20,0.33143508
21,0.429022082
22,0.271758437
23,0.224475997
24,0.214355949
25,0.318292683
26,0.289772727
27,0.262529833
28,0.297423888
29,0.13030303
30,0.142570281
31,0.146401985
32,0.225225225
33,0.371069182
35,0.140540541
36,0.151515152
37,0
38,0
39,0.035087719
40,0.133333333
43,0
46,0
